12480 2
lightly -1.237137 0.881292
steven -0.245297 -2.115872
alabama 0.631083 -3.097776
yasuda -1.823089 0.309901
ceilings 0.131939 -0.750901
can 1.449175 -1.129051
guangdong -0.581635 1.658993
viability 0.407124 2.227458
ol -1.659015 -1.540257
unsettling 2.397022 -0.921598
extremely 0.457322 1.278033
vanuatu 0.636583 -1.581170
reveals -1.620443 0.359407
schlecht 1.087654 -1.518014
raffinage 3.278160 0.675689
pickens 0.246531 1.089397
deapartment 1.414871 0.390320
relected -1.942534 -1.894914
responses -0.402151 0.686892
warns -0.260205 0.456734
packers 0.481585 -1.350607
distillates -0.387368 -2.635504
flopping -2.025637 0.679162
stockholder -2.162317 1.092040
theoretically -0.507230 1.321440
withhold -0.393661 0.809702
featured -0.385117 -2.858946
subsequent -0.454691 0.209136
aviation 1.034626 0.847742
battle -2.430984 1.491631
theft -0.872332 -0.723636
mixes -1.082766 -1.367509
improvements 1.498986 1.392605
balnces -0.139285 0.901787
gold -0.378500 -0.322575
soba 0.712819 1.442611
assaults -0.697138 -1.556914
ag -0.055321 1.050650
whole -1.034061 3.977155
int -1.400124 -1.507308
footed -1.325012 -0.766907
submission 1.120086 0.416009
dull -2.361569 0.353523
seapride 0.365200 0.717395
inflationary -0.680948 -0.901464
acquire 2.154862 -1.129034
fourth -1.973343 0.035515
halved -0.964404 3.227246
await -2.366405 -0.791108
telecommunications -1.394968 -0.087437
sweep 1.335086 0.004869
cycle -1.305181 0.419510
devaluations 0.703253 0.010915
regret 1.096259 0.144393
parker -1.220723 0.128928
mongstad -0.474422 -1.612567
netting 3.512192 -1.227241
unfavourable 0.149115 -0.836995
classes 0.740187 -0.382037
payments -0.179878 -0.146081
sider 0.704468 0.277459
interfered 0.422822 0.399629
submit -0.476254 -0.716045
surviving 3.050060 0.979228
disqualification -0.244919 -0.690214
sanchez -1.997173 0.410636
fore -1.149581 -1.645165
hundredweight 0.053385 0.571472
certainly -2.007764 0.770823
remittances 0.387906 -0.339465
factories 1.257032 0.174544
billion 0.411584 0.352530
andre -1.110753 0.465134
terminals 0.888062 0.346766
departments -0.531706 0.901967
pit -3.553883 0.030219
denominator 1.930187 0.895062
initative 0.669420 1.585183
trades 1.498641 -2.108145
institution -2.614792 0.022463
unemotional 1.161099 0.119236
warrant -1.080392 -0.366294
discouraged -1.703819 2.656647
paid -0.365572 -1.240357
relevance -1.403927 0.424457
composite -0.911184 -0.280817
ahvaz 1.517252 2.057921
straining -0.587046 1.554482
krenzler 0.689964 2.968461
interesting -1.605182 -0.333149
root 1.478813 0.685154
word -1.036365 -1.055325
diversifed -0.680548 0.742156
contacted -0.249522 1.364572
droit -3.288692 0.871891
dismantling -0.749325 -0.153779
reserved 1.606001 3.134644
enhance 1.809002 -1.025720
norwegian -0.715985 0.291818
farmland -1.061748 -0.697859
lining -0.336651 1.757275
fields 1.192452 -1.636213
hollings 1.365219 -1.018388
insure 1.273395 -0.964389
carol -3.062935 -3.775354
narvaez -2.018523 1.596914
understandings -1.609905 0.031499
positive 0.830111 -1.677523
southeastern -0.985683 -2.715281
coking 2.254380 0.028346
foothold 0.703388 -0.557573
specifying 0.851313 0.534099
sweetening 0.153269 -1.274019
haynes -0.041925 0.228938
pushed 1.351040 0.870041
jun -0.115178 0.321389
starting -1.001903 0.248429
sometime -0.260276 1.959543
turnaround 0.801799 0.268999
recourse 1.964189 2.093318
associate -0.355790 1.189612
employers -0.175815 -0.750059
convinced -0.595887 2.083574
andes -0.538867 0.401545
b 1.769896 -0.176416
weld -3.001232 -1.003266
freeing -2.274083 -0.273551
mike -0.686927 -3.274599
ecopetrol 1.458597 1.911459
preparation -2.138465 0.210610
petroelum 0.304537 -0.587398
schaefer -2.465115 -0.280003
jinfeng 0.323620 -0.431074
louvre 1.196331 1.623617
verdal 0.424166 0.008112
documentation 0.466097 1.547982
eni 4.016479 -1.203966
paye -0.132413 -0.619286
grown -1.765990 -0.167941
goc -1.148371 1.941891
hernandez 0.525154 1.359312
roelof 1.942288 -2.553813
severance 2.430409 0.069360
apartheid 0.023302 0.894504
reappeared 1.586797 0.786290
schleede 0.252476 1.822534
pause 0.330243 -1.133722
midrate -1.514811 -0.348369
remittance -1.273577 1.966213
ald -1.815585 1.463928
outlets -1.855529 -0.474945
behalf -0.472023 0.891280
tracking -0.820888 -0.487871
debut -1.614796 -0.224415
petroleo -2.227876 1.399123
jaime 0.380403 -1.353695
reafffirm 0.660162 0.909093
arithmetic 0.997716 -0.532804
gluten -0.974942 2.045912
complains -0.221600 1.350515
ifs -1.079974 0.322381
businessmen 0.435695 1.614370
frightening -1.094907 1.980470
ridiculous 1.111433 -0.668416
strike -0.589231 0.165260
newmont -0.861017 -2.328332
introducing 0.822142 0.677188
extraneous -0.226187 -0.738095
tres 1.715826 1.170099
relief -1.084916 -0.517668
recover -1.404997 -0.029772
fairchild -0.441736 0.282483
governments -1.327984 1.541083
sprinkel -2.700338 -1.520439
obtainable -1.093758 2.233504
pakistan 1.595680 0.086374
nymex -1.327589 -1.254225
hoppers -1.603348 -1.231656
authorised 0.702696 -1.347095
diminishing 1.853267 -0.907607
makers -0.042173 1.208416
checking 1.145888 -1.690301
pointer -1.793618 -1.238989
seeing -1.892123 0.290917
tweedel -0.527790 -1.460915
froze 0.314764 -0.655135
celebrations -0.035323 0.212660
unofficially 0.303617 -0.414687
licensing 0.922468 1.568570
thai -2.176010 -0.202482
oil -2.641606 -1.228751
roasted 0.596159 0.715022
determines -1.927095 0.869628
submitting 1.114968 0.927707
bolivares -2.354053 -2.747344
intensity 2.551980 0.543718
indonesia 0.046871 0.204077
overshooting 2.351767 -1.540574
udagawa -1.607118 -0.107076
emissions -2.136386 -1.801862
sushi 3.261455 -1.724449
standpoint -1.117492 0.011541
equaled -0.069285 -1.747461
strengthening 0.852268 0.245718
unions -0.314265 1.030535
standstill -0.464461 -1.436490
postponed 0.756518 -0.946243
klein 0.197474 -0.763556
until -1.677890 -1.498555
builing -0.681072 0.817049
drinking -2.717204 -1.858777
shakour -5.049983 0.685661
time -0.356517 -2.673828
stopped -0.447056 1.831295
epac -0.653770 -0.697211
pressed -2.905257 -0.432000
fadhil -1.098064 -1.203998
collapsing 1.614417 -0.351606
pazzionotto -1.300506 -1.594109
equip 1.044190 -2.552779
frosts 0.019636 -0.547268
climbs 1.930270 1.157470
aubrey 1.214210 0.497525
famine -0.191683 -3.185037
elevators 0.021065 -0.566100
ignoring 0.649947 -0.384532
tx -0.989251 1.578085
divest -0.432503 1.718771
respark -0.636221 1.732940
flight 0.244250 -0.392264
lunday 2.002944 -1.581835
benefited -1.104573 0.446930
bhagat 1.755091 -1.063030
petrochemicals -0.190010 -0.326075
lip 1.973709 2.247335
footwear -2.162833 0.258392
reduce 1.155121 -0.486953
same 1.956182 0.046902
purge -1.136288 1.005783
onset 0.543803 -0.006312
during 0.059983 0.449551
ascensao 1.647773 -0.431818
turben 0.560297 -1.850802
symposium 0.534669 1.267161
velasco 0.627118 1.891891
majority 2.599567 -1.045749
destination -1.030960 0.294771
cake -2.549750 1.147311
o -0.410862 1.176738
conflict 1.141272 0.136306
few -0.980286 1.614441
stat 1.164631 -0.060134
frequently -0.595628 0.794649
valued -1.424625 0.395637
italiana 1.115242 -0.203817
kharg 1.429926 -0.648101
reformer -2.198255 -0.895550
aynalem 0.499007 0.726933
released -1.799390 -1.264683
assisting -0.105143 -1.387796
fort -1.512686 1.896604
solomon -1.466313 0.713245
societe -0.679610 1.853723
overlifting -0.520974 -0.679543
fold -1.431928 -0.580795
troughs -0.744731 -0.059789
seattle 1.349247 -0.665682
declare 0.272485 0.321350
fares 0.990930 0.202860
managing 0.661084 -1.736250
exaggerated 3.994310 0.107671
pending -0.074616 -0.247701
sterilised -0.130921 2.331480
reproductive 0.110456 -1.118877
player -0.074774 -0.377649
nihon 1.536634 -0.453591
halls 1.599007 -1.516823
small -1.541886 0.899427
admit -1.796001 2.690917
petro -0.717044 0.160009
makes 3.868264 0.284431
pacific 0.223209 0.752968
juan 1.407384 0.759354
pods 1.272729 1.784950
carriers 2.232330 0.412345
whose 1.041481 -0.512828
relevant -1.060189 -0.387887
textiles 0.132961 0.548626
notes 2.712672 -2.929001
mlc 1.014901 0.896117
existed -1.462438 -1.470294
given 0.310587 0.515844
counteract -1.198829 -2.716690
unprepared 0.571686 2.421916
dormant 2.276336 1.027944
centigrade -0.133602 0.847610
precise -0.152371 0.627644
servicing 0.225850 -0.770521
consult -0.086463 -1.520527
algerian 1.504569 0.353953
streamline 0.363870 0.347658
cushing -2.330255 -0.808692
mulls -0.180793 -1.319963
elecetric -2.410729 -0.186585
sohio -1.644597 0.059506
favorable -1.610640 1.217136
removal -0.526345 0.622047
oth 1.415145 1.845477
thudershower -3.068371 0.409978
paints 4.113385 -1.575782
complicated -1.130561 -1.238122
moines 2.358890 1.766147
unlike 0.358664 -2.601059
unexpectedly 0.960360 0.848726
heady 0.406786 -0.481403
speculator -2.087692 2.041676
escorted 0.200391 0.921470
maturity -2.851846 -1.741990
pallice 0.193491 0.294758
dar 0.256877 2.656262
prominent -3.289845 -0.623245
consumption 1.811280 -0.030171
specially 0.760084 -2.843226
further -1.107301 -0.383685
preference 0.393174 0.379381
gaspar -1.593367 -4.019301
individual 0.136482 -2.441100
treated 5.609431 -0.158043
deadweight 0.583234 -0.124420
exporter 4.711591 2.603561
martha 1.431192 -0.533576
seizes 0.085876 0.434981
newman 3.100104 -1.014957
matched -1.249146 1.542659
crushing -1.157288 -1.096203
emp 1.378722 0.407815
burst 0.838505 -0.994076
detected -1.668195 -0.584358
deep -1.690878 -0.218694
upstream 2.262925 2.489543
didn 0.207785 0.436752
day -0.215606 0.342674
imput -0.247309 -2.120011
urgent -3.246163 -0.167312
defences -0.057084 2.511634
answers -1.431897 2.094727
openly -1.787603 -0.079870
upset -0.470840 -0.624435
policymaking 1.561161 1.271584
gibraltar -2.997264 -1.137557
guerard -0.864907 1.145347
supports 0.418868 1.115109
malaise -1.583878 -1.769093
baltic -3.808154 1.184266
electricity 0.397909 1.322307
iranian -0.852025 0.321173
yarn -1.453456 0.688348
bunch 1.142637 0.138098
virtual 3.539423 -0.897690
fluxtuate -1.122797 -1.061890
ed -3.204651 -1.024111
gippsland 0.517073 -2.246842
lpp 0.866581 -0.740323
hfcs 0.850887 1.562825
bare -0.093694 0.859762
arbitraging -0.485345 2.696221
obed 0.445368 -0.083923
difficult 0.380342 1.098988
dollars 0.518995 -0.089078
zuccherifici -2.685491 -1.887715
healthy 1.367104 0.188686
restraining 0.998362 2.791914
reviewing -0.708025 -1.951979
anatolian -1.766326 1.110478
stave 0.727418 -1.992913
pulses 2.420542 -0.338733
parachute 1.533704 -2.287220
frugal 1.694614 2.483718
assessment -0.755385 0.385863
kind 0.846580 1.059230
partner 2.609264 0.221957
earliest -0.231660 -1.230464
nynas -1.337600 -0.353274
unable -1.915784 0.221757
core 0.252557 -0.916674
province -1.113213 -0.379831
partialy 1.407010 0.156453
brussels 0.134366 -1.680659
stockdraws 1.977274 1.011334
admitted 0.054598 -0.264182
daps 0.081159 -0.404648
input 2.681025 1.198128
schmidt -0.375188 0.418475
surpluses -0.215369 -1.218574
canadaina 1.359249 0.268505
london -1.032731 0.262821
assess -2.482234 -1.974562
marked 0.415758 -0.801803
deflationary 0.290517 0.222118
spurt -0.504163 -2.767493
trained 1.609359 -1.263733
choosing 1.423609 2.550272
sized 2.117901 -3.099719
newcastle 1.135162 0.824337
butane -2.537388 0.382291
crash -0.354961 0.948851
midges -0.104346 1.139289
liquidity 1.336654 -1.104534
turning -1.258996 -2.133326
rival 0.815004 -1.127005
such 1.988657 3.037106
largely 0.553235 0.437267
fast -0.068569 -1.691362
hossein 2.630973 -1.348641
corrected -1.584332 -1.986924
syrup 0.296523 -0.405354
namely 1.069767 0.420023
hindsight -0.115295 -2.998839
circulation -2.859524 -1.263446
riots -0.308709 -2.510982
managed 1.223678 -0.155205
elkins 2.670548 0.390505
bouy 0.772253 -0.470524
alive -1.481975 -0.268383
millers -0.780025 -0.757131
internation 0.864040 0.886520
aa 1.239351 -0.521735
suffers 0.635926 1.098238
sand 0.318235 -0.705401
hoped -0.984840 1.877650
deduction -1.611284 -2.402086
violated 0.527638 2.380130
fantastic -0.330022 1.003839
break 2.238293 -0.684554
assign 1.313448 -1.303310
overwhelming 0.552216 -0.378498
shall 1.746130 -2.043147
caisse 1.278077 0.474557
decontrolled 0.972982 -0.381712
wednesday -1.644420 -1.454778
aggression -1.470296 -1.357939
kernels -2.650763 1.093760
establishes -1.453151 1.471810
resolution -0.066746 0.968604
bombed -1.132176 -1.609929
young 0.821214 -1.429226
reveal 0.726310 -1.373386
god 1.440531 -1.710469
housewives 0.691287 -0.746838
skaw -0.592736 1.750404
condition 0.966441 -0.544258
tactically -2.480992 0.469269
dealers -0.187632 -0.836093
formalize 0.704989 0.109654
collapses -0.175931 -0.280551
treaty 2.229828 0.276769
basin 2.180453 -0.584046
offing 0.750696 -2.728320
ventures 0.362915 -1.013757
nordic 0.381323 -0.456145
attended 0.229634 -0.626202
structures 1.938240 2.084306
miniister 0.341266 -0.929822
blames -0.844730 1.329366
moment 0.950212 2.320988
nahayan 0.934110 -2.834026
ecuatoriana -1.507248 -1.690171
undertake -1.597594 1.502563
invest -3.380714 -0.539077
fluctuation -0.966361 -1.114086
insurance 0.421063 1.714660
tested -0.143493 0.764136
ecu 1.838273 0.896669
sportsman 0.259906 -1.884418
retreating -0.047227 -1.047081
seminar 0.755772 0.646204
absence 0.348646 1.751232
avoiding -0.462751 0.963319
hong -0.541497 -2.489382
stc -0.090093 -0.994344
kuwaiti -1.579711 -1.106957
habits -2.641306 -1.500528
microchips 0.832693 -0.305785
bean -0.922502 -0.146080
gasoline 0.451125 -0.713688
predict -0.782490 0.559464
liability 0.797047 -1.030662
strides 2.300058 2.556912
invites -0.497820 1.294019
begun -1.301319 -1.171109
thermal -2.813941 2.888983
overfly 2.429223 -0.487573
unknown -2.555703 -1.027385
adjacent -1.560884 -0.911092
ronald -1.115249 -1.048414
carbone 1.185665 -1.183179
heinz -1.308854 2.562596
beginnning -2.637478 1.871519
moving 1.085665 0.836498
kerr -0.731809 0.635950
lear -1.605444 -0.949028
impunity -1.385438 -0.241535
levees 1.777064 0.055123
